time,views
1723026889.6695647,16508392.0
1723026899.6767528,16508563.0
1723026909.6766303,16508743.0
1723026919.6902606,16508806.0
1723026929.6636755,16509031.0
1723026939.6178656,16509112.0
1723026949.6094937,16509301.0
1723026959.643132,16509526.0
1723026969.686879,16509652.0
1723026979.6725657,16509787.0
1723026989.6692533,16510012.0
1723026999.6515162,16510120.0
1723027009.591376,16510282.0
1723027019.665578,16510507.0
1723027029.688316,16510669.0
1723027039.6955214,16510813.0
1723027049.6742551,16510984.0
1723027059.6756406,16511164.0
1723027069.6283252,16511308.0
1723027079.6532202,16511479.0
1723027089.668762,16511659.0
1723027099.6646323,16511785.0
1723027109.7131653,16511956.0
1723027119.6856654,16512145.0
1723027129.6664207,16512280.0
1723027139.7243664,16512451.0
1723027149.643448,16512523.0
1723027159.696267,16512694.0
1723027169.6846697,16512910.0
1723027179.7219765,16513009.0
1723027189.671838,16513198.0
1723027199.6560478,16513423.0
1723027209.66711,16513540.0
1723027219.6712897,16513684.0
1723027229.683771,16513909.0
1723027239.6557336,16514071.0
1723027249.6812396,16514224.0
1723027259.6584492,16514422.0
1723027269.6863427,16514602.0
1723027279.6566246,16514719.0
1723027289.6684213,16514899.0
1723027299.63895,16515088.0
1723027310.15347,16515223.0
1723027319.6767735,16515394.0
1723027329.6828992,16515466.0
1723027339.6525884,16515637.0
1723027349.6787448,16515853.0
1723027359.6801238,16515943.0
1723027369.6396205,16516132.0
1723027379.6606958,16516357.0
1723027389.6602604,16516465.0
1723027399.6853366,16516609.0
1723027409.649974,16516834.0
1723027419.6534483,16516996.0
1723027429.629206,16517104.0
1723027439.7012756,16517329.0
1723027449.6663198,16517509.0
1723027459.695957,16517626.0
1723027469.6481004,16517806.0
1723027479.6716383,16517995.0
1723027489.6722624,16518139.0
1723027499.7124484,16518310.0
1723027509.6722429,16518490.0
1723027519.6656125,16518553.0
1723027529.667714,16518742.0
1723027539.6234097,16518859.0
1723027549.6627877,16519048.0
1723027559.666523,16519264.0
1723027569.679894,16519354.0
1723027579.6613421,16519525.0
1723027589.6589203,16519750.0
1723027599.6594694,16519858.0
1723027609.6792624,16520020.0
1723027620.2055624,16520245.0
1723027629.673796,16520380.0
1723027639.6342497,16520515.0
1723027649.6530597,16520749.0
1723027659.6994104,16520929.0
1723027669.6359813,16521073.0
1723027679.7141674,16521262.0
1723027689.620676,16521451.0
1723027699.6766136,16521586.0
1723027709.7107246,16521757.0
1723027719.6624327,16521946.0
1723027729.6427546,16522018.0
1723027739.6706069,16522207.0
1723027749.6731653,16522324.0
1723027759.6887736,16522495.0
1723027769.6379285,16522720.0
1723027779.6390862,16522801.0
1723027789.6581385,16522990.0
1723027799.673475,16523215.0
1723027809.6789448,16523332.0
1723027819.6078265,16523467.0
1723027829.6072493,16523692.0
1723027839.6640384,16523863.0
1723027849.6429691,16523962.0
1723027859.6750565,16524187.0
1723027869.6783566,16524349.0
1723027879.6775532,16524484.0
1723027889.6140816,16524673.0
1723027899.6114361,16524844.0
1723027909.6491714,16525006.0
1723027919.6288164,16525177.0
1723027929.7049174,16525258.0
1723027939.6041055,16525429.0
1723027949.6521256,16525618.0
1723027959.621124,16525735.0
1723027969.7199616,16525924.0
1723027979.5982842,16526149.0
1723027989.6260903,16526230.0
1723027999.6346622,16526410.0
1723028009.6711552,16526635.0
1723028019.7052205,16526743.0
1723028029.6944113,16526905.0
1723028039.6127293,16527130.0
1723028049.6401658,16527238.0
1723028059.6087227,16527382.0
1723028069.6136394,16527607.0
1723028079.6523995,16527724.0
1723028089.62239,16527922.0
1723028099.6753407,16528102.0
